1   Microsoft Corporation	MSFT	5.52383	   182.11	-1.14	(-0.62%)
82	Booking Holdings Inc.	BKNG	0.271339	   1665.50	26.08	(1.59%)
83	Prologis Inc.	PLD	0.267101	   93.70	2.20	(2.40%)
84	Intuitive Surgical Inc.	ISRG	0.265069	   572.00	-8.03	(-1.38%)
85	Caterpillar Inc.	CAT	0.262652	   120.50	0.37	(0.31%)
86	Zoetis Inc. Class A	ZTS	0.262335	   138.34	-1.05	(-0.75%)
87	CME Group Inc. Class A	CME	0.258701	   182.24	-0.36	(-0.20%)
88	TJX Companies Inc	TJX	0.252806	   53.33	0.57	(1.08%)
89	American Express Company	AXP	0.252053	   96.75	1.68	(1.77%)
90	Automatic Data Processing Inc.	ADP	0.250641	   145.55	-0.94	(-0.64%)
91	Stryker Corporation	SYK	0.249331	   197.25	1.52	(0.78%)
92	Advanced Micro Devices Inc.	AMD	0.248828	   53.35	-0.45	(-0.84%)
93	Goldman Sachs Group Inc.	GS	0.24742	   199.93	3.44	(1.75%)
94	Duke Energy Corporation	DUK	0.246801	   87.44	1.81	(2.11%)
95	Target Corporation	TGT	0.245114	   119.49	-2.84	(-2.32%)
96	Colgate-Palmolive Company	CL	0.244942	   72.73	0.40	(0.55%)
97	Regeneron Pharmaceuticals Inc.	REGN	0.243719	   599.00	-13.81	(-2.25%)
98	Equinix Inc.	EQIX	0.243192	   709.51	11.88	(1.70%)
99	Fiserv Inc.	FISV	0.241237	   108.87	2.10	(1.97%)
100	Southern Company	SO	0.236781	   57.70	0.63	(1.10%)
101	General Electric Company	GE	0.226724	   6.76	0.19	(2.89%)
102	CSX Corporation	CSX	0.220254	   70.86	-0.71	(-1.00%)
103	Biogen Inc.	BIIB	0.219062	   303.99	-3.10	(-1.01%)
104	Chubb Limited	CB	0.21852	   119.56	-2.38	(-1.95%)
105	Activision Blizzard Inc.	ATVI	0.218168	   72.99	1.01	(1.40%)
106	Humana Inc.	HUM	0.215179	   401.50	-9.15	(-2.23%)
107	Intercontinental Exchange Inc.	ICE	0.214134	   97.62	0.37	(0.38%)
108	Global Payments Inc.	GPN	0.213234	   181.68	2.19	(1.22%)
109	Marsh & McLennan Companies Inc.	MMC	0.211368	   106.70	0.78	(0.74%)
110	Illumina Inc.	ILMN	0.211182	   361.15	-1.90	(-0.52%)
111	Air Products and Chemicals Inc.	APD	0.210775	   242.60	0.95	(0.39%)
112	Ecolab Inc.	ECL	0.210716	   209.05	-3.53	(-1.66%)
113	Micron Technology Inc.	MU	0.209871	   46.26	-1.65	(-3.44%)
