1   Microsoft Corporation	MSFT	5.52383	   182.11	-1.14	(-0.62%)
351	Hess Corporation	HES	0.048644	   48.70	1.23	(2.59%)
352	Seagate Technology PLC	STX	0.048606	   52.15	-0.89	(-1.68%)
353	Qorvo Inc.	QRVO	0.048226	   106.00	1.26	(1.20%)
354	Genuine Parts Company	GPC	0.048007	   84.78	1.37	(1.64%)
355	Healthpeak Properties Inc.	PEAK	0.047907	   25.52	0.88	(3.57%)
356	Brown-Forman Corporation Class B	BF.B	0.047505	   65.52	-0.41	(-0.62%)
357	Martin Marietta Materials Inc.	MLM	0.04733	   195.96	3.87	(2.01%)
358	Omnicom Group Inc	OMC	0.047174	   55.58	0.79	(1.44%)
359	IDEX Corporation	IEX	0.047111	   158.12	-1.25	(-0.78%)
360	Alliant Energy Corp	LNT	0.047016	   50.00	0.64	(1.30%)
361	Xylem Inc.	XYL	0.046947	   66.00	-0.34	(-0.51%)
362	Cboe Global Markets Inc	CBOE	0.046911	   105.08	-1.38	(-1.30%)
363	KeyCorp	KEY	0.046268	   11.85	0.00	(0.00%)
364	Occidental Petroleum Corporation	OXY	0.045742	   13.81	0.86	(6.64%)
365	Synchrony Financial	SYF	0.045562	   21.10	0.73	(3.58%)
366	Jacobs Engineering Group Inc.	J	0.045109	   85.09	1.07	(1.27%)
367	NVR Inc.	NVR	0.044459	   3204.14	-17.47	(-0.54%)
368	ViacomCBS Inc. Class B	VIAC	0.044117	   21.32	0.58	(2.80%)
369	Westinghouse Air Brake Technologies Corporation	WAB	0.044059	   61.92	0.85	(1.39%)
370	SVB Financial Group	SIVB	0.04396	   212.75	-2.00	(-0.93%)
371	PerkinElmer Inc.	PKI	0.043887	   101.96	1.49	(1.48%)
372	Varian Medical Systems Inc.	VAR	0.04366	   122.54	1.15	(0.95%)
373	Expedia Group Inc.	EXPE	0.043486	   81.71	2.23	(2.81%)
374	C.H. Robinson Worldwide Inc.	CHRW	0.043388	   80.66	-0.47	(-0.58%)
375	Regions Financial Corporation	RF	0.043283	   11.48	0.17	(1.50%)
376	Concho Resources Inc.	CXO	0.043095	   56.62	2.10	(3.85%)
377	Celanese Corporation	CE	0.043071	   89.34	-0.57	(-0.63%)
378	UDR Inc.	UDR	0.042883	   37.76	0.78	(2.11%)
379	Gartner Inc.	IT	0.042784	   122.24	0.54	(0.44%)
380	Baker Hughes Company Class A	BKR	0.042482	   16.33	-0.18	(-1.09%)
381	Citizens Financial Group Inc.	CFG	0.041571	   24.73	0.63	(2.61%)
382	United Rentals Inc.	URI	0.041386	   139.96	1.07	(0.77%)
383	Halliburton Company	HAL	0.04092	   12.04	0.29	(2.47%)
384	DENTSPLY SIRONA Inc.	XRAY	0.040905	   47.10	0.58	(1.25%)
385	E*TRADE Financial Corporation	ETFC	0.040835	   45.97	0.43	(0.94%)
386	Fox Corporation Class A	FOXA	0.040506	   29.54	0.37	(1.27%)
387	J.B. Hunt Transport Services Inc.	JBHT	0.040479	   115.50	-4.17	(-3.48%)
388	NetApp Inc.	NTAP	0.04033	   42.67	-1.87	(-4.20%)
389	ABIOMED Inc.	ABMD	0.039786	   226.50	2.60	(1.16%)
390	Principal Financial Group Inc.	PFG	0.039507	   39.52	0.90	(2.33%)
391	Ingersoll Rand Inc.	IR	0.038522	   28.76	0.56	(1.99%)
392	Advance Auto Parts Inc.	AAP	0.038229	   139.79	0.47	(0.34%)
393	Packaging Corporation of America	PKG	0.0378	   102.62	1.21	(1.19%)
394	CenturyLink Inc.	CTL	0.037307	   10.14	0.31	(3.15%)
395	Hasbro Inc.	HAS	0.037107	   72.66	-0.85	(-1.16%)
396	Darden Restaurants Inc.	DRI	0.037025	   78.31	1.45	(1.89%)
397	Allegion PLC	ALLE	0.036887	   100.65	0.95	(0.95%)
398	Eastman Chemical Company	EMN	0.036865	   68.56	0.48	(0.71%)
399	Avery Dennison Corporation	AVY	0.036536	   112.97	2.30	(2.08%)
400	Huntington Bancshares Incorporated	HBAN	0.036534	   9.10	0.21	(2.36%)
401	NRG Energy Inc.	NRG	0.036123	   36.09	0.04	(0.11%)
402	Cincinnati Financial Corporation	CINF	0.035387	   59.75	0.80	(1.36%)
403	Henry Schein Inc.	HSIC	0.035225	   61.13	0.41	(0.68%)
404	CenterPoint Energy Inc.	CNP	0.035066	   18.05	0.27	(1.52%)
405	Royal Caribbean Cruises Ltd.	RCL	0.035057	   55.64	3.77	(7.27%)
406	MGM Resorts International	MGM	0.034984	   17.80	0.62	(3.61%)
407	NiSource Inc	NI	0.034935	   24.21	0.38	(1.59%)
408	Mylan N.V.	MYL	0.034708	   17.42	0.35	(2.05%)
409	Lamb Weston Holdings Inc.	LW	0.034686	   61.59	1.53	(2.55%)
410	Pinnacle West Capital Corporation	PNW	0.034594	   77.58	-0.32	(-0.41%)
411	F5 Networks Inc.	FFIV	0.034261	   145.82	0.90	(0.62%)
412	PulteGroup Inc.	PHM	0.034212	   34.33	0.36	(1.06%)
413	Campbell Soup Company	CPB	0.034038	   51.72	0.74	(1.45%)
414	Host Hotels & Resorts Inc.	HST	0.033939	   12.25	0.31	(2.60%)
415	Raymond James Financial Inc.	RJF	0.033898	   71.19	1.91	(2.76%)
416	Fortune Brands Home & Security Inc.	FBHS	0.033722	   61.38	0.42	(0.69%)
417	Loews Corporation	L	0.033684	   33.77	0.53	(1.59%)
418	LKQ Corporation	LKQ	0.033513	   28.05	0.59	(2.15%)
419	Universal Health Services Inc. Class B	UHS	0.033492	   104.59	-0.86	(-0.82%)
420	W. R. Berkley Corporation	WRB	0.033222	   57.96	0.01	(0.02%)
421	Western Union Company	WU	0.033189	   20.71	0.69	(3.45%)
422	AES Corporation	AES	0.032599	   12.55	0.06	(0.48%)
423	Huntington Ingalls Industries Inc.	HII	0.032331	   195.53	-4.36	(-2.18%)
424	Albemarle Corporation	ALB	0.032319	   77.42	0.90	(1.18%)
425	Juniper Networks Inc.	JNPR	0.032183	   24.28	0.02	(0.08%)
426	Cabot Oil & Gas Corporation	COG	0.032074	   19.83	-0.01	(-0.05%)
427	DISH Network Corporation Class A	DISH	0.032004	   32.40	0.75	(2.37%)
428	Wynn Resorts Limited	WYNN	0.031733	   86.00	2.72	(3.27%)
429	Everest Re Group Ltd.	RE	0.03153	   193.77	-4.64	(-2.34%)
430	Globe Life Inc.	GL	0.030614	   79.25	2.23	(2.90%)
431	Whirlpool Corporation	WHR	0.030213	   123.77	1.95	(1.60%)
432	Lincoln National Corporation	LNC	0.029724	   39.23	1.30	(3.43%)
433	Perrigo Co. Plc	PRGO	0.029507	   55.44	0.67	(1.22%)
434	Iron Mountain Inc.	IRM	0.029145	   26.41	0.65	(2.52%)
435	DaVita Inc.	DVA	0.028704	   80.34	-0.62	(-0.77%)
436	WestRock Company	WRK	0.028446	   28.58	0.52	(1.85%)
437	Regency Centers Corporation	REG	0.028242	   45.40	2.61	(6.10%)
438	Textron Inc.	TXT	0.028224	   31.55	0.58	(1.87%)
439	Snap-on Incorporated	SNA	0.028126	   130.01	0.32	(0.25%)
440	Molson Coors Beverage Company Class B	TAP	0.028114	   37.97	0.01	(0.03%)
441	Live Nation Entertainment Inc.	LYV	0.027479	   50.66	1.50	(3.05%)
442	Diamondback Energy Inc.	FANG	0.027131	   43.30	0.72	(1.69%)
443	BorgWarner Inc.	BWA	0.026143	   33.26	1.11	(3.45%)
444	Interpublic Group of Companies Inc.	IPG	0.026118	   17.47	0.36	(2.10%)
445	Discovery Inc. Class C	DISCK	0.026049	   19.85	0.26	(1.33%)
446	Pentair plc	PNR	0.026047	   38.98	-0.16	(-0.41%)
447	A. O. Smith Corporation	AOS	0.026029	   47.32	-0.18	(-0.38%)
448	CF Industries Holdings Inc.	CF	0.025387	   29.59	0.22	(0.75%)
449	Assurant Inc.	AIZ	0.024596	   103.06	0.48	(0.47%)
450	Carnival Corporation	CCL	0.024593	   16.80	1.06	(6.73%)
451	FLIR Systems Inc.	FLIR	0.02452	   45.96	-0.24	(-0.52%)
452	United Airlines Holdings Inc.	UAL	0.024108	   29.02	0.98	(3.50%)
453	Robert Half International Inc.	RHI	0.023615	   51.83	1.09	(2.15%)
454	Rollins Inc.	ROL	0.023293	   42.22	0.42	(1.00%)
455	Vornado Realty Trust	VNO	0.022711	   38.13	1.92	(5.30%)
456	Zions Bancorporation N.A.	ZION	0.022244	   33.84	0.94	(2.84%)
457	Mohawk Industries Inc.	MHK	0.022097	   93.09	-0.11	(-0.12%)
458	Federal Realty Investment Trust	FRT	0.022056	   84.87	4.96	(6.21%)
459	IPG Photonics Corporation	IPGP	0.021776	   159.81	4.41	(2.84%)
460	Apartment Investment & Management Co Class A	AIV	0.021701	   37.95	1.08	(2.93%)
461	Franklin Resources Inc.	BEN	0.021079	   19.49	0.62	(3.29%)
462	Quanta Services Inc.	PWR	0.020775	   37.93	1.00	(2.71%)
463	Comerica Incorporated	CMA	0.020766	   37.58	1.23	(3.38%)
464	People's United Financial Inc.	PBCT	0.020174	   11.74	0.29	(2.53%)
465	Howmet Aerospace Inc.	HWM	0.020059	   13.41	0.33	(2.52%)
466	Sealed Air Corporation	SEE	0.019838	   32.43	0.33	(1.03%)
467	Newell Brands Inc	NWL	0.019799	   13.78	0.63	(4.79%)
468	Nielsen Holdings Plc	NLSN	0.01926	   14.57	0.68	(4.90%)
469	National Oilwell Varco Inc.	NOV	0.018842	   12.50	0.03	(0.24%)
470	HollyFrontier Corporation	HFC	0.018465	   31.14	-0.31	(-0.99%)
471	Kimco Realty Corporation	KIM	0.01827	   11.98	0.87	(7.83%)
472	Fox Corporation Class B	FOX	0.018196	   29.14	0.36	(1.25%)
473	News Corporation Class A	NWSA	0.018144	   12.19	-0.06	(-0.49%)
474	Marathon Oil Corporation	MRO	0.017001	   5.69	0.35	(6.55%)
475	Mosaic Company	MOS	0.016681	   12.52	0.43	(3.56%)
476	Alaska Air Group Inc.	ALK	0.016655	   36.11	1.92	(5.62%)
477	Noble Energy Inc.	NBL	0.016641	   9.33	0.60	(6.87%)
478	Devon Energy Corporation	DVN	0.016597	   11.70	0.89	(8.23%)
479	American Airlines Group Inc.	AAL	0.016423	   10.97	0.47	(4.48%)
480	Apache Corporation	APA	0.015969	   11.73	0.94	(8.71%)
481	Leggett & Platt Incorporated	LEG	0.015651	   31.79	1.20	(3.92%)
482	Ralph Lauren Corporation Class A	RL	0.014886	   76.71	1.20	(1.59%)
483	Tapestry Inc.	TPR	0.014875	   14.19	0.59	(4.34%)
484	DXC Technology Co.	DXC	0.014385	   14.76	0.55	(3.87%)
485	L Brands Inc.	LB	0.014362	   16.54	0.35	(2.16%)
486	Hanesbrands Inc.	HBI	0.014142	   10.29	0.43	(4.36%)
487	SL Green Realty Corp.	SLG	0.013749	   44.07	1.95	(4.63%)
488	Discovery Inc. Class A	DISCA	0.013542	   21.94	0.19	(0.87%)
489	Norwegian Cruise Line Holdings Ltd.	NCLH	0.013393	   17.29	1.63	(10.41%)
490	PVH Corp.	PVH	0.013322	   47.62	2.15	(4.73%)
491	Flowserve Corporation	FLS	0.013206	   27.04	0.94	(3.60%)
492	H&R Block Inc.	HRB	0.013122	   17.37	0.37	(2.18%)
493	Harley-Davidson Inc.	HOG	0.013019	   22.73	1.39	(6.51%)
494	Unum Group	UNM	0.012518	   16.06	0.91	(6.01%)
495	TechnipFMC Plc	FTI	0.012304	   7.85	0.45	(6.08%)
496	Kohl's Corporation	KSS	0.012115	   20.70	1.48	(7.70%)
497	Invesco Ltd.	IVZ	0.011757	   8.22	0.25	(3.14%)
498	Xerox Holdings Corporation	XRX	0.011672	   17.00	1.12	(7.05%)
499	Gap Inc.	GPS	0.007587	   9.89	0.99	(11.12%)
500	Alliance Data Systems Corporation	ADS	0.007514	   49.90	3.57	(7.71%)
501	Nordstrom Inc.	JWN	0.00671	   16.59	0.46	(2.85%)
502	Under Armour Inc. Class A	UAA	0.006289	   9.26	0.51	(5.83%)
503	Under Armour Inc. Class C	UA	0.006023	   8.26	0.40	(5.09%)
504	News Corporation Class B	NWS	0.005987	   12.24	-0.02	(-0.16%)
505	Coty Inc. Class A	COTY	0.004318	   4.39	0.76	(20.94%)
